Description,Name,GPS Location,Population within 3000 meters of GPS Location
PS0103038,Qangdend,"{""type"":""Point"",""coordinates"":[35.3786647,-3.4945436,0]}",10143
PS0105045,Migandini,"{""type"":""Point"",""coordinates"":[36.8893,-3.4419,0]}",10219
PS0103050,Qarulambo,"{""type"":""Point"",""coordinates"":[35.6175142,-3.5321309,0]}",10254
PS0101057,Musa,"{""type"":""Point"",""coordinates"":[36.5209564,-3.3222495,0]}",10381
PS0101058,Muungano,"{""type"":""Point"",""coordinates"":[36.7362017,-3.482045,0]}",10453
PS0103101,Marar,"{""type"":""Point"",""coordinates"":[35.7900956,-3.3530768,0]}",10497
PS0101051,Mlangarini,"{""type"":""Point"",""coordinates"":[36.7924392,-3.4507334,0]}",10514
PS0103039,Qaru,"{""type"":""Point"",""coordinates"":[35.6199713,-3.5204199,0]}",10534
PS0107025,Samunge,"{""type"":""Point"",""coordinates"":[35.711411,-2.1524512,0]}",10554
PS0105035,Malula,"{""type"":""Point"",""coordinates"":[37.022558,-3.37189,0]}",10571
PS0103080,Haraa,"{""type"":""Point"",""coordinates"":[35.6025,-3.351667,0]}",10646
PS0103009,Dumbechand,"{""type"":""Point"",""coordinates"":[35.3227904,-3.5582462,0]}",10817
PS0103021,Kainam/Rhotia,"{""type"":""Point"",""coordinates"":[35.726875,-3.3552296,0]}",10827
PS0105063,Nkoamangasha,"{""type"":""Point"",""coordinates"":[36.97173,-3.38085,0]}",10858
PS0101044,Manyire,"{""type"":""Point"",""coordinates"":[36.8054433,-3.4546016,0]}",11015
PS0103074,Akko,"{""type"":""Point"",""coordinates"":[35.73331,-3.28761,0]}",11027
PS0103010,Endabash,"{""type"":""Point"",""coordinates"":[35.6168516,-3.58135,0]}",11059
PS0101033,Leminyor,"{""type"":""Point"",""coordinates"":[36.6338513,-3.1982275,0]}",11074
PS0106060,Loosingirani,"{""type"":""Point"",""coordinates"":[36.4909101,-3.399942,0]}",11222
PS0103055,Baray-Khusumayi,"{""type"":""Point"",""coordinates"":[35.6019046,-3.3605848,0]}",11241
PS0103059,Endabash-Mangisa,"{""type"":""Point"",""coordinates"":[35.616441,-3.562472,0]}",11282
